change_date,days_after,future_date,change_type,from_position,to_position,change_price,future_price,future_return,future_return_pct
2026-01-07,10,2026-01-22,加倉（50% → 100%）,0.5,1.0,689.5800170898438,688.97998046875,-0.000870147925147275,-0.0870147925147275
2026-01-07,20,2026-02-05,加倉（50% → 100%）,0.5,1.0,689.5800170898438,677.6199951171875,-0.017343921918053503,-1.7343921918053502
2026-01-07,30,2026-02-20,加倉（50% → 100%）,0.5,1.0,689.5800170898438,689.4299926757812,-0.0002175591089423255,-0.02175591089423255
2026-01-22,10,2026-02-05,減倉（100% → 50%）,1.0,0.5,688.97998046875,677.6199951171875,-0.016488121097268594,-1.6488121097268593
2026-01-22,20,2026-02-20,減倉（100% → 50%）,1.0,0.5,688.97998046875,689.4299926757812,0.0006531571595521289,0.06531571595521289
2026-01-23,10,2026-02-06,加倉（50% → 100%）,0.5,1.0,689.22998046875,690.6199951171875,0.0020167646327458673,0.20167646327458674
2026-01-23,20,2026-02-23,加倉（50% → 100%）,0.5,1.0,689.22998046875,682.3900146484375,-0.009924068908988249,-0.9924068908988248
2026-01-26,10,2026-02-09,減倉（100% → 50%）,1.0,0.5,692.72998046875,693.9500122070312,0.0017611937878820986,0.17611937878820985
2026-01-26,20,2026-02-24,減倉（100% → 50%）,1.0,0.5,692.72998046875,687.3499755859375,-0.007766380890822725,-0.7766380890822725
2026-01-28,10,2026-02-11,加倉（50% → 100%）,0.5,1.0,695.4199829101562,691.9600219726562,-0.004975354494446566,-0.49753544944465655
2026-01-28,20,2026-02-26,加倉（50% → 100%）,0.5,1.0,695.4199829101562,689.2999877929688,-0.008800430340780362,-0.8800430340780362
2026-02-06,10,2026-02-23,減倉（100% → 50%）,1.0,0.5,690.6199951171875,682.3900146484375,-0.011916800160634648,-1.1916800160634649
