stock_code,entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,strategy
1301.TW,2010-01-15 00:00:00,2010-01-26 00:00:00,67.78845977783203,61.730770111083984,-8.936166548998674,11,原始策略
1301.TW,2010-01-27 00:00:00,2010-02-05 00:00:00,63.07692337036133,62.5,-0.9146346072935029,9,原始策略
1301.TW,2010-02-08 00:00:00,2010-04-22 00:00:00,63.36538314819336,66.05769348144531,4.248866178170841,73,原始策略
1301.TW,2010-04-26 00:00:00,2010-05-05 00:00:00,67.78845977783203,65.0,-4.113472686901059,9,原始策略
1301.TW,2010-06-15 00:00:00,2010-06-25 00:00:00,64.61538696289062,63.653846740722656,-1.4880979088157325,10,原始策略
1301.TW,2010-06-28 00:00:00,2010-07-02 00:00:00,64.90384674072266,63.846153259277344,-1.6296314233431766,4,原始策略
1301.TW,2010-07-05 00:00:00,2010-07-19 00:00:00,65.09615325927734,65.0,-0.14770958722302108,14,原始策略
1301.TW,2010-07-21 00:00:00,2010-07-22 00:00:00,65.86538696289062,65.28845977783203,-0.8759186147097894,1,原始策略
1301.TW,2010-07-23 00:00:00,2010-07-26 00:00:00,66.34615325927734,65.38461303710938,-1.4492780288411284,3,原始策略
1301.TW,2010-08-03 00:00:00,2010-11-15 00:00:00,65.76923370361328,84.71154022216797,28.801166520986882,104,原始策略
1301.TW,2010-11-16 00:00:00,2011-01-07 00:00:00,87.01923370361328,88.26923370361328,1.4364640399586701,52,原始策略
1301.TW,2011-01-13 00:00:00,2011-03-02 00:00:00,90.09615325927734,91.15384674072266,1.1739607554625537,48,原始策略
1301.TW,2011-03-03 00:00:00,2011-03-09 00:00:00,91.63461303710938,91.25,-0.41972462627590057,6,原始策略
1301.TW,2011-03-14 00:00:00,2011-06-13 00:00:00,94.4230728149414,101.9230728149414,7.9429738690025005,91,原始策略
1301.TW,2011-06-15 00:00:00,2011-06-20 00:00:00,106.25,101.9230728149414,-4.0724020565257355,5,原始策略
1301.TW,2011-07-01 00:00:00,2011-07-11 00:00:00,101.9230728149414,99.51923370361328,-2.3584837514590067,10,原始策略
1301.TW,2011-07-13 00:00:00,2011-08-01 00:00:00,102.88461303710938,97.11538696289062,-5.607472200082875,19,原始策略
1301.TW,2011-10-07 00:00:00,2011-10-14 00:00:00,82.88461303710938,80.28845977783203,-3.132249960695341,7,原始策略
1301.TW,2011-10-17 00:00:00,2011-10-18 00:00:00,81.82691955566406,80.86538696289062,-1.1750810100083746,1,原始策略
1301.TW,2011-10-19 00:00:00,2011-11-18 00:00:00,81.63461303710938,77.21154022216797,-5.418134110503801,30,原始策略
1301.TW,2011-12-12 00:00:00,2011-12-13 00:00:00,82.30769348144531,81.63461303710938,-0.8177612758492261,1,原始策略
1301.TW,2011-12-14 00:00:00,2011-12-15 00:00:00,81.9230728149414,79.4230728149414,-3.0516433455167484,1,原始策略
1301.TW,2011-12-27 00:00:00,2011-12-28 00:00:00,81.9230728149414,79.61538696289062,-2.816893669581566,1,原始策略
1301.TW,2012-01-13 00:00:00,2012-03-21 00:00:00,80.76923370361328,83.75,3.6904724233546515,68,原始策略
1301.TW,2012-03-22 00:00:00,2012-03-23 00:00:00,85.6730728149414,84.32691955566406,-1.5712676282606433,1,原始策略
1301.TW,2012-06-15 00:00:00,2012-06-18 00:00:00,75.76923370361328,74.80769348144531,-1.2690378075212272,3,原始策略
1301.TW,2012-06-19 00:00:00,2012-06-22 00:00:00,76.34615325927734,74.32691955566406,-2.644840135895007,3,原始策略
1301.TW,2012-06-29 00:00:00,2012-07-09 00:00:00,76.73076629638672,74.23076629638672,-3.2581454880084078,10,原始策略
1301.TW,2012-07-17 00:00:00,2012-07-18 00:00:00,76.9230728149414,75.48076629638672,-1.874998574256821,1,原始策略
1301.TW,2012-07-19 00:00:00,2012-07-26 00:00:00,76.53845977783203,75.0,-2.0100479971738574,7,原始策略
1301.TW,2012-07-27 00:00:00,2012-08-30 00:00:00,77.78845977783203,77.40384674072266,-0.4944345706392057,34,原始策略
1301.TW,2012-09-04 00:00:00,2012-09-05 00:00:00,77.78845977783203,77.11538696289062,-0.8652604986186099,1,原始策略
1301.TW,2012-09-07 00:00:00,2012-10-04 00:00:00,78.36538696289062,77.78845977783203,-0.7362015392481805,27,原始策略
1301.TW,2012-11-29 00:00:00,2013-02-22 00:00:00,73.07691955566406,74.61538696289062,2.1052712902802138,85,原始策略
1301.TW,2013-04-24 00:00:00,2013-04-29 00:00:00,69.51923370361328,68.26923370361328,-1.7980635478941287,5,原始策略
1301.TW,2013-04-30 00:00:00,2013-05-03 00:00:00,68.84615325927734,68.07691955566406,-1.117322707510348,3,原始策略
1301.TW,2013-05-06 00:00:00,2013-05-24 00:00:00,68.84615325927734,67.30769348144531,-2.234634333218489,18,原始策略
1301.TW,2013-06-28 00:00:00,2013-07-01 00:00:00,69.71154022216797,68.26923370361328,-2.0689637812593333,3,原始策略
1301.TW,2013-07-09 00:00:00,2013-08-19 00:00:00,69.51923370361328,72.5,4.287685777859477,41,原始策略
1301.TW,2013-08-29 00:00:00,2013-11-05 00:00:00,74.0,76.0,2.7027027027027026,68,原始策略
1301.TW,2013-11-12 00:00:00,2013-11-13 00:00:00,76.69999694824219,75.0,-2.216423749520303,1,原始策略
1301.TW,2013-11-28 00:00:00,2014-02-05 00:00:00,77.4000015258789,75.30000305175781,-2.7131762696657744,69,原始策略
1301.TW,2014-02-19 00:00:00,2014-02-20 00:00:00,77.30000305175781,76.4000015258789,-1.164296882726242,1,原始策略
1301.TW,2014-02-26 00:00:00,2014-02-27 00:00:00,77.5,77.0,-0.6451612903225806,1,原始策略
1301.TW,2014-03-28 00:00:00,2014-04-23 00:00:00,76.0,75.80000305175781,-0.2631538792660362,26,原始策略
1301.TW,2014-04-24 00:00:00,2014-04-25 00:00:00,76.80000305175781,75.69999694824219,-1.4322995570381658,1,原始策略
1301.TW,2014-04-28 00:00:00,2014-07-03 00:00:00,76.0999984741211,77.5999984741211,1.971090709693111,66,原始策略
1301.TW,2014-07-15 00:00:00,2014-07-16 00:00:00,77.80000305175781,76.69999694824219,-1.4138895377469674,1,原始策略
1301.TW,2014-07-30 00:00:00,2014-07-31 00:00:00,78.69999694824219,77.30000305175781,-1.7788995562542327,1,原始策略
1301.TW,2014-08-22 00:00:00,2014-08-29 00:00:00,78.0999984741211,77.5,-0.7682438999277406,7,原始策略
1301.TW,2014-09-04 00:00:00,2014-09-09 00:00:00,78.0999984741211,77.30000305175781,-1.024321943653257,5,原始策略
1301.TW,2014-11-24 00:00:00,2014-11-25 00:00:00,71.19999694824219,70.4000015258789,-1.1235891245119385,1,原始策略
1301.TW,2014-11-27 00:00:00,2014-12-01 00:00:00,70.5999984741211,69.69999694824219,-1.2747897242643822,4,原始策略
1301.TW,2014-12-03 00:00:00,2014-12-09 00:00:00,70.69999694824219,69.80000305175781,-1.2729758632708845,6,原始策略
1301.TW,2014-12-24 00:00:00,2015-01-06 00:00:00,71.69999694824219,69.0,-3.7656862805604083,13,原始策略
1301.TW,2015-01-08 00:00:00,2015-03-04 00:00:00,72.0,75.9000015258789,5.4166687859429254,55,原始策略
1301.TW,2015-03-06 00:00:00,2015-03-09 00:00:00,76.19999694824219,75.0,-1.5747992077444164,3,原始策略
1301.TW,2015-04-09 00:00:00,2015-05-21 00:00:00,76.0,75.0999984741211,-1.1842125340511924,42,原始策略
1301.TW,2015-08-28 00:00:00,2015-11-13 00:00:00,68.5,73.30000305175781,7.007303725193887,77,原始策略
1301.TW,2015-11-19 00:00:00,2015-11-30 00:00:00,75.0999984741211,73.69999694824219,-1.864183161550045,11,原始策略
1301.TW,2015-12-01 00:00:00,2015-12-08 00:00:00,75.5999984741211,72.9000015258789,-3.5714246067960342,7,原始策略
1301.TW,2015-12-31 00:00:00,2016-01-04 00:00:00,77.0,72.4000015258789,-5.974023992365057,4,原始策略
1301.TW,2016-01-13 00:00:00,2016-01-21 00:00:00,74.9000015258789,73.9000015258789,-1.3351134574469765,8,原始策略
1301.TW,2016-01-22 00:00:00,2016-05-04 00:00:00,74.4000015258789,77.5999984741211,4.301071078780982,103,原始策略
1301.TW,2016-05-06 00:00:00,2016-05-09 00:00:00,77.80000305175781,77.5999984741211,-0.25707528250823103,3,原始策略
1301.TW,2016-05-18 00:00:00,2016-05-19 00:00:00,77.69999694824219,75.9000015258789,-2.3165965161649886,1,原始策略
1301.TW,2016-05-24 00:00:00,2016-06-16 00:00:00,78.30000305175781,77.0,-1.6602848034354294,23,原始策略
1301.TW,2016-06-21 00:00:00,2016-06-23 00:00:00,78.19999694824219,77.0999984741211,-1.4066477200109662,2,原始策略
1301.TW,2016-06-30 00:00:00,2016-07-06 00:00:00,77.80000305175781,77.5,-0.38560802055268584,6,原始策略
1301.TW,2016-07-07 00:00:00,2016-08-02 00:00:00,78.0999984741211,77.0999984741211,-1.2804097561299645,26,原始策略
1301.TW,2016-08-05 00:00:00,2016-09-01 00:00:00,78.5999984741211,77.0,-2.035621507865411,27,原始策略
1301.TW,2016-09-02 00:00:00,2016-09-12 00:00:00,77.80000305175781,76.5999984741211,-1.5424222757914223,10,原始策略
1301.TW,2016-09-21 00:00:00,2016-12-15 00:00:00,77.9000015258789,88.80000305175781,13.992299502404826,85,原始策略
1301.TW,2016-12-16 00:00:00,2016-12-19 00:00:00,89.4000015258789,88.4000015258789,-1.1185682135704738,3,原始策略
1301.TW,2016-12-21 00:00:00,2016-12-22 00:00:00,89.0,87.0999984741211,-2.1348331751448386,1,原始策略
1301.TW,2016-12-30 00:00:00,2017-01-18 00:00:00,89.19999694824219,87.5999984741211,-1.7937203238353068,19,原始策略
1301.TW,2017-01-23 00:00:00,2017-03-09 00:00:00,89.69999694824219,88.5,-1.3377892854718803,45,原始策略
1301.TW,2017-03-15 00:00:00,2017-05-09 00:00:00,89.4000015258789,88.5,-1.0067130990130686,55,原始策略
1301.TW,2017-05-25 00:00:00,2017-06-01 00:00:00,90.19999694824219,89.4000015258789,-0.8869129151105493,7,原始策略
1301.TW,2017-06-06 00:00:00,2017-06-08 00:00:00,90.19999694824219,89.30000305175781,-0.997775972210733,2,原始策略
1301.TW,2017-06-09 00:00:00,2017-06-12 00:00:00,90.0,89.30000305175781,-0.777774386935764,3,原始策略
1301.TW,2017-06-13 00:00:00,2017-07-12 00:00:00,89.80000305175781,89.69999694824219,-0.11136536761361213,29,原始策略
1301.TW,2017-07-13 00:00:00,2017-07-14 00:00:00,91.4000015258789,90.5,-0.9846843663608482,1,原始策略
1301.TW,2017-07-17 00:00:00,2017-07-26 00:00:00,91.0,90.0,-1.098901098901099,9,原始策略
1301.TW,2017-07-27 00:00:00,2017-09-22 00:00:00,91.5,93.0,1.639344262295082,57,原始策略
