日期,相關係數,相關性水平,標準化分數
2025-06-23 (Monday),,,
2025-06-24 (Tuesday),,,
2025-06-25 (Wednesday),,,
2025-06-26 (Thursday),,,
2025-06-27 (Friday),,,
2025-06-30 (Monday),,,
2025-07-01 (Tuesday),,,
2025-07-02 (Wednesday),,,
2025-07-03 (Thursday),,,
2025-07-07 (Monday),,,
2025-07-08 (Tuesday),,,
2025-07-09 (Wednesday),,,
2025-07-10 (Thursday),,,
2025-07-11 (Friday),,,
2025-07-14 (Monday),,,
2025-07-15 (Tuesday),,,
2025-07-16 (Wednesday),,,
2025-07-17 (Thursday),,,
2025-07-18 (Friday),,,
2025-07-21 (Monday),,,
2025-07-22 (Tuesday),,,
2025-07-23 (Wednesday),,,
2025-07-24 (Thursday),,,
2025-07-25 (Friday),,,
2025-07-28 (Monday),,,
2025-07-29 (Tuesday),,,
2025-07-30 (Wednesday),,,
2025-07-31 (Thursday),,,
2025-08-01 (Friday),,,
2025-08-04 (Monday),,,
2025-08-05 (Tuesday),,,
2025-08-06 (Wednesday),,,
2025-08-07 (Thursday),,,
2025-08-08 (Friday),,,
2025-08-11 (Monday),,,
2025-08-12 (Tuesday),,,
2025-08-13 (Wednesday),,,
2025-08-14 (Thursday),,,
2025-08-15 (Friday),,,
2025-08-18 (Monday),,,
2025-08-19 (Tuesday),,,
2025-08-20 (Wednesday),,,
2025-08-21 (Thursday),,,
2025-08-22 (Friday),,,
2025-08-25 (Monday),,,
2025-08-26 (Tuesday),,,
2025-08-27 (Wednesday),,,
2025-08-28 (Thursday),,,
2025-08-29 (Friday),,,
2025-09-02 (Tuesday),,,
2025-09-03 (Wednesday),,,
2025-09-04 (Thursday),,,
2025-09-05 (Friday),,,
2025-09-08 (Monday),,,
2025-09-09 (Tuesday),,,
2025-09-10 (Wednesday),,,
2025-09-11 (Thursday),,,
2025-09-12 (Friday),,,
2025-09-15 (Monday),,,
2025-09-16 (Tuesday),-0.21187240596553508,中等相關,-2.9829926633193398
2025-09-17 (Wednesday),-0.20588049927884533,中等相關,-2.926241860194296
2025-09-18 (Thursday),-0.16140486405094961,弱相關,-2.5050023198178764
2025-09-19 (Friday),-0.14662661460517043,弱相關,-2.3650339310088153
2025-09-22 (Monday),-0.11937251257008061,弱相關,-2.1069037130634958
2025-09-23 (Tuesday),-0.11755736074064983,弱相關,-2.0897119693497763
2025-09-24 (Wednesday),-0.1154208355806252,弱相關,-2.0694764207893157
2025-09-25 (Thursday),-0.10104205859712925,弱相關,-1.9332915326664837
2025-09-26 (Friday),-0.10425195015288774,弱相關,-1.9636931949851315
2025-09-29 (Monday),-0.06753850254721722,弱相關,-1.6159712183162869
2025-09-30 (Tuesday),-0.07002935902480115,弱相關,-1.6395627248205715
2025-10-01 (Wednesday),-0.0758928475772846,弱相關,-1.6950972486153286
2025-10-02 (Thursday),-0.08388220645261348,弱相關,-1.7707664064205209
2025-10-03 (Friday),-0.092721962675916,弱相關,-1.8544898839934283
2025-10-06 (Monday),-0.05440906181112922,弱相關,-1.491619097144103
2025-10-07 (Tuesday),-0.05475550785898679,弱相關,-1.4949003717839584
2025-10-08 (Wednesday),-0.01696672168563435,弱相關,-1.136993602437543
2025-10-09 (Thursday),0.0001968625132544658,弱相關,-0.974433128998433
2025-10-10 (Friday),-0.04869448632951737,弱相關,-1.4374949652011668
2025-10-13 (Monday),0.0413403770510075,弱相關,-0.5847529127508819
2025-10-14 (Tuesday),0.02570970827993035,弱相關,-0.7327947719658539
2025-10-15 (Wednesday),0.04977574111657092,弱相關,-0.5048595314944179
2025-10-16 (Thursday),0.04102682242125371,弱相關,-0.5877226647835081
2025-10-17 (Friday),0.01771166791775961,弱相關,-0.808546154240878
2025-10-20 (Monday),0.08349941796443462,弱相關,-0.18545439961927024
2025-10-21 (Tuesday),0.08186326053776442,弱相關,-0.20095084388279666
2025-10-22 (Wednesday),0.08567975131300756,弱相關,-0.164803933067998
2025-10-23 (Thursday),0.08755929462034562,弱相關,-0.14700232203211858
2025-10-24 (Friday),0.08047837863680767,弱相關,-0.21406739663005794
2025-10-27 (Monday),0.06181132816963578,弱相關,-0.39086756415285784
2025-10-28 (Tuesday),0.04871923112192154,弱相關,-0.5148659941850297
2025-10-29 (Wednesday),0.04450843061847505,弱相關,-0.5547475081780231
2025-10-30 (Thursday),0.01141644149046079,弱相關,-0.868169772278324
2025-10-31 (Friday),0.00667208928465382,弱相關,-0.9131046839961108
2025-11-03 (Monday),0.009415488820354437,弱相關,-0.8871212808684005
2025-11-04 (Tuesday),0.05580668235116136,弱相關,-0.44773902268822424
2025-11-05 (Wednesday),0.06754875695325158,弱相關,-0.33652698303762996
2025-11-06 (Thursday),0.07515241688155706,弱相關,-0.26451087361129266
2025-11-07 (Friday),0.07175649763194825,弱相關,-0.2966744493877984
2025-11-10 (Monday),0.12473087731098484,弱相關,0.20505876326628603
2025-11-11 (Tuesday),0.123529119431057,弱相關,0.1936766225865498
2025-11-12 (Wednesday),0.10583010666194417,弱相關,0.026044975151388348
2025-11-13 (Thursday),0.13661364456851183,弱相關,0.3176033372181184
2025-11-14 (Friday),0.1314845819506268,弱相關,0.2690247397759703
2025-11-17 (Monday),0.13616113877906527,弱相關,0.31331754501329834
2025-11-18 (Tuesday),0.12612813191354877,弱相關,0.21829250087468563
2025-11-19 (Wednesday),0.1236700207752089,弱相關,0.1950111334292806
2025-11-20 (Thursday),0.1269677104473457,弱相關,0.2262443530264162
2025-11-21 (Friday),0.12063762819398428,弱相關,0.16629060699698486
