,qqq_close,tw0050_close,qqq_20ma,tw0050_120ma,market_score,qqq_above_20ma,tw0050_above_120ma,market_score_bullish,entry_signal,exit_signal,position,portfolio_value,cash,qqq_value,tw0050_value,buy_hold_qqq_value,buy_hold_tw0050_value,buy_hold_value,cummax,drawdown
2020-03-04,218.22000122070312,22.299999237060547,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,50000.0,50000.0,100000.0,100000.0,0.0
2020-03-05,211.58999633789062,22.549999237060547,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,48480.88973381797,50560.53813576936,99041.42786958732,100000.0,0.0
2020-03-06,208.02000427246094,22.087499618530273,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,47662.90970323886,49523.543439909365,97186.45314314822,100000.0,0.0
2020-03-09,193.57000732421875,21.462499618530273,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,44352.03149147775,48122.19810048598,92474.22959196373,100000.0,0.0
2020-03-10,204.11000061035156,21.575000762939453,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,46767.02398235233,48374.442827522136,95141.46680987446,100000.0,0.0
2020-03-11,195.22000122070312,21.325000762939453,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,44730.08893058838,47813.90469175278,92543.99362234116,100000.0,0.0
2020-03-12,177.32000732421875,20.537500381469727,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,40628.72475765432,46048.20870876599,86676.9334664203,100000.0,0.0
2020-03-13,192.33999633789062,20.25,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,44070.20329528868,45403.588997317915,89473.7922926066,100000.0,0.0
2020-03-16,169.3000030517578,19.325000762939453,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,38791.128701473004,43329.59960559793,82120.72830707094,100000.0,0.0
2020-03-17,182.13999938964844,18.712499618530273,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,41733.11299852754,41956.27860702305,83689.3916055506,100000.0,0.0
2020-03-18,176.60000610351562,18.200000762939453,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,40463.7533488294,40807.17799463582,81270.93134346523,100000.0,0.0
2020-03-19,177.66000366210938,17.137500762939453,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,40706.626951767765,38424.89091761605,79131.51786938382,100000.0,0.0
2020-03-20,170.6999969482422,18.5,,,,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,39111.90449852481,41479.822046932415,80591.72654545723,100000.0,0.0
