,qqq_close,tw0050_close,qqq_20ma,tw0050_120ma,market_score,qqq_above_20ma,tw0050_above_120ma,ms_bullish,ms_bearish,ms_neutral,entry_signal,exit_signal,position_size,portfolio_value,cash,qqq_value,tw0050_value,buy_hold_qqq_value,buy_hold_tw0050_value,buy_hold_value,cummax,drawdown
2015-12-14,111.62999725341797,14.850000381469727,,16.030625049273173,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,50000.0,50000.0,100000.0,100000.0,0.0
2015-12-15,112.30999755859375,14.862500190734863,,16.00770839055379,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,50304.5777666876,50042.08689880148,100346.66466548908,100000.0,0.0
2015-12-16,113.9800033569336,15.087499618530273,,15.990104214350383,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,51052.58719042192,50799.66071030175,101852.24790072367,100000.0,0.0
2015-12-17,112.31999969482422,15.262499809265137,,15.972708376248677,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,50309.05780631699,51388.886926596104,101697.94473291309,100000.0,0.0
2015-12-18,109.83000183105469,15.1875,,15.95333336989085,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,49193.76714742857,51136.36232276268,100330.12947019126,100000.0,0.0
2015-12-21,111.05000305175781,15.162500381469727,,15.933645876248677,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,49740.215795068296,51052.18852515973,100792.40432022803,100000.0,0.0
2015-12-22,111.77999877929688,15.199999809265137,,15.914270877838135,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,50067.18692536486,51178.449221564166,101245.63614692903,100000.0,0.0
2015-12-23,112.61000061035156,15.225000381469727,,15.89677087465922,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,50438.951617417326,51262.62623019167,101701.577847609,100000.0,0.0
2015-12-24,112.58999633789062,15.300000190734863,,15.879270879427592,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,50429.99153815856,51515.150834025095,101945.14237218365,100000.0,0.0
2015-12-28,112.52999877929688,15.362500190734863,,15.855208381017048,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,50403.1181349202,51725.58853905704,102128.70667397724,100000.0,0.0
2015-12-29,114.30000305175781,15.25,,15.84250005086263,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,51195.91770314144,51346.80002779463,102542.71773093607,100000.0,0.0
2015-12-30,113.2699966430664,15.137499809265137,,15.82677088578542,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,50734.56930484616,50968.01151653222,101702.58082137839,100000.0,0.0
2015-12-31,111.86000061035156,15.1875,,15.811458388964335,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,50103.020407861986,51136.36232276268,101239.38273062467,100000.0,0.0
2016-01-04,109.5,14.887499809265137,,15.793333387374878,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,49045.95659507967,50126.26069640444,99172.2172914841,100000.0,0.0
2016-01-05,109.30999755859375,14.762499809265137,,15.773437555631002,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,48960.852928466236,49705.38528634055,98666.23821480678,100000.0,0.0
2016-01-06,108.26000213623047,14.612500190734863,,15.752500057220459,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,48490.55128545015,49200.336078673696,97690.88736412385,100000.0,0.0
2016-01-07,104.87000274658203,14.337499618530273,,15.730312554041545,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,46972.14249164153,48274.40824991841,95246.55074155994,100000.0,0.0
2016-01-08,104.01000213623047,14.362500190734863,,15.706979219118754,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,46586.94109796989,48358.585258545914,94945.5263565158,100000.0,0.0
2016-01-11,104.33000183105469,14.137499809265137,,15.683541711171468,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,46730.27161068941,47601.008236021094,94331.2798467105,100000.0,0.0
2016-01-12,105.54000091552734,14.125,110.29400024414062,15.661354207992554,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,47272.24021869975,47558.92133721962,94831.16155591936,100000.0,0.0
2016-01-13,101.9000015258789,14.287500381469727,109.80750045776367,15.641354211171468,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,45641.854355039344,48106.06065471249,93747.91500975183,100000.0,0.0
2016-01-14,104.06999969482422,14.175000190734863,109.3955005645752,15.622395873069763,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,46613.814501208246,47727.27214345008,94341.08664465832,100000.0,0.0
2016-01-15,100.83999633789062,14.175000190734863,108.73850021362304,15.603333377838135,,False,False,False,False,False,False,True,0.0,100000.0,100000.0,0.0,0.0,45167.069255124894,47727.27214345008,92894.34139857496,100000.0,0.0
